full_name,abbreviation
Aave,AAVE
Cardano,ADA
Cosmos,ATOM
Avalanche,AVAX
Basic Attention Token,BAT
Bitcoin Cash,BCH
Binance Coin,BNB
Bitcoin SV,BSV
Bitcoin,BTC
Compound,COMP
Dai,DAI
Dash,DASH
Dogecoin,DOGE
Polkadot,DOT
Enjin Coin,ENJ
EOS,EOS
Ethereum Classic,ETC
Ethereum,ETH
Filecoin,FIL
IoTeX,IOTX
Chainlink,LINK
Lisk,LSK
Litecoin,LTC
Terra,LUNA
Polygon,MATIC
IOTA,MIOTA
Maker,MKR
Navcoin,NAV
Neo,NEO
Namecoin,NMC
OMG Network,OMG
Peercoin,PPC
Reddcoin,RDD
Ravencoin,RVN
Solana,SOL
Steem,STEEM
THETA,THETA
TRON,TRX
Uniswap,UNI
USD Coin,USDC
Tether,USDT
Stellar,XLM
Monero,XMR
Nano,XNO
Primecoin,XPM
Ripple,XRP
Tezos,XTZ
Zcash,ZEC
